0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,1617,3599,1169,1554,3575,1173,1544,3581,1132,1877,3289,1332,1602,3364,1316,1687,3295,1281,1779,3238,982,1776,3540,1188,1747,3363,1761,1708,2829
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,301,4525,595,303,4461,335,187,4837,653,374,4332,440,234,4685,741,211,4407,533,340,4486,475,233,4651,527,298,4534,614,243,4502
3515,382,1668,3267,302,1996,3742,334,1489,3670,367,1528,3551,519,1495,3552,345,1668,3247,213,2105,3410,277,1878,3127,312,2126,3571,344,1650
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4328,250,914,4156,456,880,4272,348,872,4146,387,959,4217,208,1067,4202,323,967,4282,412,798,4165,459,868,4364,186,942,4171,464,857
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,1317,3776,471,1043,4006,357,1366,3797,239,1151,4130,168,917,4435,439,917,4164,540,1189,3791,283,1225,4012,317,1090,4113,430,849,4241
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
948,432,2524,968,500,2436,973,484,2447,932,441,2531,1019,478,2407,1142,439,2323,896,472,2536,1052,356,2496,1031,428,2445,1052,461,2391
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
