0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1114,19775,17272,4339,34270
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5895,30791,3215,7309,8350
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
14302,6748,1285,1835,34910
19795,8313,1534,2444,18264
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
21217,4258,6943,5540,17912
0,0,0,0,0
19398,1992,3763,4363,19794
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1288,16416,819,18811,11066
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
13918,13977,10096,4585,22334
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
27102,5499,3010,5696,9523
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3384,30265,1666,11903,19652
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3555,26891,1537,18461,12046
0,0,0,0,0
0,0,0,0,0
26048,6488,5824,8887,21213
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4573,15593,2424,2893,28187
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8458,4239,7902,9443,10898
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
17799,7024,8585,11818,11944
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8489,19857,1204,14063,12667
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
17542,4888,9629,6994,15937
0,0,0,0,0
0,0,0,0,0
5891,15874,2509,13906,10550
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1926,29244,1137,5061,15172
0,0,0,0,0
0,0,0,0,0
3205,26065,2087,14536,12537
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
19356,8213,8707,8316,20628
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
13809,15029,1917,13116,12089
0,0,0,0,0
34490,601,15957,6155,897
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6157,7723,9910,16069,20151
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
10244,5547,13713,8017,14399
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5097,14841,5282,8314,25276
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3312,34125,2480,2748,4095
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4188,10349,13870,8581,15112
0,0,0,0,0
30525,6028,3748,8217,10072
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7595,11982,18384,4773,11956
26369,419,25143,1284,1215
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
38290,930,6854,3740,1946
0,0,0,0,0
7285,12281,16104,8072,3558
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7866,17472,3641,9530,11151
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7438,19973,1311,10964,7694
0,0,0,0,0
0,0,0,0,0
4303,8124,10185,6765,36463
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12179,8638,19928,3141,9154
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
10920,2268,17658,787,12157
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
35681,2556,1486,4715,5422
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4982,16618,4839,854,24657
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
33832,8930,1993,1037,12698
0,0,0,0,0
