0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1646,2122,3909,1089,1702,4886,1737,1659,4281,1996,1698,3983,2537,1597,3543,1919,1658,4100,1976,1520,4181,935,5070,1672,1654,1552,4471,2708,1600,3369
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695,303,4910,714,341,4853,787,341,4780,499,263,5146,1249,272,4387,1076,204,4628,1130,161,4617,1135,333,4440,578,269,5061,743,214,4951
3438,670,2579,3821,385,2481,3659,261,2767,3680,194,2813,3932,240,2515,3204,552,2931,3924,282,2481,3479,337,2871,3867,289,2531,4067,297,2323
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4252,231,1766,4426,313,1510,4554,380,1315,4472,282,1495,4444,311,1494,4368,394,1487,4386,349,1514,4306,404,1539,4354,373,1522,4485,354,1410
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709,1635,4502,541,1969,4336,652,1639,4555,813,1174,4859,778,1609,4459,787,1745,4314,816,901,5129,919,1477,4450,807,1356,4683,869,1345,4632
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,523,2908,1527,699,3141,1712,513,3142,1791,552,3024,1370,776,3221,1078,600,3689,1796,628,2943,1902,617,2848,2265,437,2665,1623,612,3132
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
